Order_ID,Order_Date,Customer_Name,Email,Phone,City,State,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date
ORD1002,30-06-2025,Neha,neha82@gmail.com,9829008196,Delhi,Delhi,Chair,Furniture,4,1999,0,UPI,Pending,03-07-2025
ORD1003,03-02-2025,Rohit,rohit45@gmail.com,9280491167,Pune,Maharashtra,Watch,Fashion,5,4999,20,Card,Pending,09-02-2025
ORD1004,06-05-2025,Amit,amit6@gmail.com,9943310925,Jaipur,Rajasthan,Mouse,Electronics,3,1999,5,COD,Returned,08-05-2025
ORD1007,10-02-2025,Rahul,rahul82@gmail.com,9517780193,Mumbai,Maharashtra,Mouse,Electronics,3,499,20,Wallet,Cancelled,18-02-2025
ORD1008,17-02-2025,Rahul,rahul71@gmail.com,9789375429,Lucknow,UP,Mouse,Electronics,4,9999,0,Card,Returned,27-02-2025
ORD1009,21-03-2025,Rahul,rahul99@gmail.com,9552649559,Mumbai,Maharashtra,Bottle,Home,2,1499, ,Wallet,Pending,28-03-2025
ORD1011,11-01-2025,Neha,neha22@gmail.com,9580304152,Jaipur,Rajasthan,Chair,Furniture,3,999, ,COD,Pending,16-01-2025
ORD1012,03-03-2025,Vikas,vikas46@gmail.com,9551158398,Jaipur,Rajasthan,Shoes,Fashion,3,999,5,COD,Cancelled,09-03-2025
ORD1013,30-04-2025,Rohit,rohit96@gmail.com,9899011969,Mumbai,Maharashtra,Shoes,Fashion,-1,4999,10,COD,Cancelled,04-05-2025
ORD1016,31-03-2025,Sneha,sneha86@gmail.com,9125254427,Pune,Maharashtra,Laptop,Electronics,3,4999,20,NetBanking,Pending,09-04-2025
ORD1017,12-01-2025,Vikas,vikas12@gmail.com,9498228945,Jaipur,Rajasthan,Watch,Fashion,1,4999,10,NetBanking,Pending,22-01-2025
ORD1018,23-06-2025,Amit,amit96@gmail.com,9124086971,Mumbai ,Maharashtra,Shoes,Fashion,2,4999,5,Wallet,Delivered,30-06-2025
ORD1019,06-03-2025,Vikas,vikas20@gmail.com,9524467082,Bengaluru,Karnataka,Chair,Furniture,3,1499,0,COD,Returned,16-03-2025
ORD1020,15-03-2025,Rahul,rahul90@gmail.com,9106119129,Pune,Maharashtra,Watch,Fashion,3,999,0,UPI,Returned,17-03-2025
ORD1022,13-06-2025,Vikas,vikas18@gmail.com,Unknown,Pune,Maharashtra,Shoes,Fashion,-1,1499,0,NetBanking,Cancelled,22-06-2025
ORD1023,27-04-2025,Neha,neha70@gmail.com,9133995118,Mumbai,Maharashtra,Shoes,Fashion,1,499,5,COD,Pending,01-05-2025
ORD1026,05-04-2025,Sneha,sneha71@gmail.com,9967773139,Bengaluru,Karnataka,Bottle,Home,4,9999,10,Wallet,Returned,08-04-2025
ORD1028,05-06-2025,Amit,amit15@gmail.com,9853264878,Lucknow,UP,Watch,Fashion,3,4999,0,NetBanking,Cancelled,09-06-2025
ORD1029,06-02-2025,Rahul,rahul82@gmail.com,9689560222,Pune,Maharashtra,Bottle,Home,5,1499, ,COD,Delivered,13-02-2025
ORD1030,25-04-2025,Rahul,rahul52@gmail.com,9882683944,Mumbai,Maharashtra,Shoes,Fashion,1,9999,20,UPI,Delivered,01-05-2025
ORD1031,20-03-2025,Sneha,sneha76gmail.com,9946815525,Mumbai,Maharashtra,Shoes,Fashion,5,499,20,Card,Delivered,27-03-2025
ORD1032,12-04-2025,Neha,neha79@gmail.com,9312273373,Pune,Maharashtra,Bottle,Home,1,499,20,UPI,Delivered,21-04-2025
ORD1033,18-02-2025,Amit,amit13@gmail.com,9183234274,Bengaluru,Karnataka,Shoes,Fashion,-1,499,10,Card,Pending,28-02-2025
ORD1034,13-05-2025,Amit,amit55@gmail.com,9798448836,Pune,Maharashtra,Bottle,Home,4,4999, ,NetBanking,Pending,21-05-2025
ORD1036,25-02-2025,Rohit,rohit22@gmail.com,9900319782,Pune ,Maharashtra,Watch,Fashion,-1,4999,5,NetBanking,Cancelled,05-03-2025
ORD1038,15-01-2025,Neha,neha50@gmail.com,9764950042,Mumbai,Maharashtra,Laptop,Electronics,-1,2599,5,Wallet,Delivered,22-01-2025
ORD1039,20-03-2025,Rahul,rahul33@gmail.com,9193291098,Jaipur,Rajasthan,Laptop,Electronics,1,2599,15,Wallet,Returned,25-03-2025
ORD1040,32-13-2025,Sneha,sneha23@gmail.com,9116124699,Delhi,Delhi,Bottle,Home,5,1499,10,Card,Returned,17-06-2025
ORD1041,25-06-2025,Rahul,rahul11@gmail.com,9940596133,Bengaluru,Karnataka,Bottle,Home,5,9999, ,UPI,Returned,29-06-2025
ORD1043,16-04-2025,Rahul,rahul61@gmail.com,9157741059,Delhi,Delhi,Laptop,Electronics,2,2599,5,COD,Pending,26-04-2025
ORD1044,09-06-2025,Rahul,rahul93@gmail.com,Unknown,Lucknow,UP,Bottle,Home,-1,4999, ,NetBanking,Delivered,13-06-2025
ORD1045,05-03-2025,Priya,priya61@gmail.com,9111524138,Bengaluru,Karnataka,Laptop,Electronics,3,1499,10,Wallet,Pending,13-03-2025
ORD1047,17-03-2025,Rohit,rohit24@gmail.com,9603990367,Jaipur,Rajasthan,Shoes,Fashion,1,999,20,NetBanking,Cancelled,24-03-2025
ORD1049,15-04-2025,Amit,amit42@gmail.com,9533399379,Lucknow,UP,Watch,Fashion,5,2599,0,COD,Returned,23-04-2025
ORD1050,15-02-2025,Priya,priya65@gmail.com,9841250922,Mumbai,Maharashtra,Chair,Furniture,-1,1999,15,Card,Returned,15-02-2025
ORD1052,25-02-2025,Sneha,sneha63@gmail.com,9276376917,Pune,Maharashtra,Mouse,Electronics,5,9999,0,UPI,Returned,02-03-2025
ORD1053,23-05-2025,Sneha,sneha39@gmail.com,9432994066,Mumbai,Maharashtra,Laptop,Electronics,1,1999,0,COD,Delivered,29-05-2025
ORD1054,15-05-2025,sneha  ,sneha78@gmail.com,9399449203,Jaipur ,Rajasthan,Laptop,Electronics,2,999,20,NetBanking,Pending,25-05-2025
ORD1055,19-03-2025,Priya,priya20@gmail.com,9224364160,Pune,Maharashtra,Mouse,Electronics,-1,999,0,UPI,Cancelled,21-03-2025
ORD1056,29-05-2025,Neha,neha98@gmail.com,9481676392,Pune,Maharashtra,Chair,Furniture,2,9999,15,COD,Cancelled,31-05-2025
ORD1057,03-02-2025,Rohit,rohit66@gmail.com,9358211659,Bengaluru,Karnataka,Chair,Furniture,5,1499,0,Wallet,Pending,06-02-2025
ORD1058,12-02-2025,Sneha,sneha17@gmail.com,9581041302,Jaipur,Rajasthan,Chair,Furniture,2,2599,15,Card,Cancelled,17-02-2025
ORD1059,07-05-2025,Vikas,vikas8@gmail.com,9966346542,Pune,Maharashtra,Mouse,Electronics,5,999, ,NetBanking,Delivered,17-05-2025
ORD1060,09-04-2025,Rohit,rohit64@gmail.com,9848493769,Delhi,Delhi,Laptop,Electronics,5,999,0,COD,Returned,15-04-2025
ORD1061,01-06-2025,Vikas,vikas12@gmail.com,9714988193,Jaipur,Rajasthan,Shoes,Fashion,5,499,10,UPI,Cancelled,05-06-2025
ORD1062,29-06-2025,Amit,amit18gmail.com,9177835684,Pune,Maharashtra,Watch,Fashion,1,499,20,UPI,Delivered,07-07-2025
